UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
36,78912314895,789123,298.8,309.2,1452,48.6,98,0,0
37,78912314896,789123,298.9,309.2,1581,36.7,101,0,0
38,65432147217,654321,298.8,309.1,1439,39.2,104,0,0
39,12345629452,123456,298.9,309.2,1379,50.7,106,0,0
40,65432147219,654321,298.8,309.1,1350,52.5,111,0,0
41,65432147220,654321,298.8,309.1,1362,45.4,113,0,0
42,65432147221,654321,298.8,309.1,1368,50.8,115,0,0
43,78912314902,789123,298.8,309.1,1368,49.1,117,0,0
44,12345629457,123456,298.8,309.2,1372,48.5,120,0,0
45,78912314904,789123,298.8,309.1,1472,47.5,125,0,0
46,65432147225,654321,298.8,309.1,1489,49.1,128,0,0
47,78912314906,789123,298.7,309,1843,25.8,130,0,0
48,65432147227,654321,298.8,309.1,1418,46.3,133,0,0
49,12345629462,123456,298.8,309.2,1425,53.9,135,0,0
50,78912314909,789123,298.9,309.2,1412,44.1,140,0,0
51,65432147230,654321,298.9,309.1,2861,4.6,143,1,1
52,65432147231,654321,298.9,309.1,1383,54.9,145,0,0
53,12345629466,123456,298.8,309,1497,43.8,147,0,0
54,65432147233,654321,298.7,309,1565,35.1,152,0,0
55,65432147234,654321,298.7,309,1691,30.1,154,0,0
56,65432147235,654321,298.8,309.1,1512,40.7,156,0,0
57,65432147236,654321,298.8,309.1,1477,42.4,158,0,0
58,65432147237,654321,298.8,309.1,1513,40.3,160,0,0
59,78912314918,789123,298.8,309,1661,29.5,162,0,0
60,65432147239,654321,298.8,309.1,1378,54.4,165,0,0
61,65432147240,654321,298.8,309.1,1393,52.6,167,0,0
62,78912314921,789123,298.8,309,1592,38.2,169,0,0
63,65432147242,654321,298.8,309,1829,22.9,172,0,0
64,78912314923,789123,298.9,309,1812,25.9,174,0,0
65,65432147244,654321,299,309.1,1523,38.6,177,0,0
66,65432147245,654321,299,309.1,1394,45.1,179,0,0
67,78912314926,789123,298.9,308.9,1679,28.7,181,0,0
68,12345629481,123456,298.8,308.9,1466,44.1,184,0,0
69,65432147248,654321,298.8,308.9,1527,32.4,189,0,0
70,65432147249,654321,298.9,309,1410,65.7,191,1,1
71,78912314930,789123,298.9,309,1924,22.6,193,0,0
72,65432147251,654321,298.9,309.1,1452,45.5,196,0,0
73,65432147252,654321,298.9,309.1,1369,44.4,198,0,0
74,65432147253,654321,299,309.1,1592,35,200,0,0
75,65432147254,654321,298.9,309,1601,32.3,202,0,0
76,65432147255,654321,298.8,308.9,1379,46.7,204,0,0
77,65432147256,654321,298.8,308.9,1461,47.9,206,0,0
78,65432147257,654321,298.8,308.9,1455,41.3,208,1,3
79,65432147258,654321,298.8,308.9,1398,51.5,0,0,0
80,65432147259,654321,298.8,308.9,1402,37.9,2,0,0
81,12345629494,123456,298.8,308.8,1445,49.9,4,0,0
82,65432147261,654321,298.9,308.9,1450,47.5,9,0,0
83,65432147262,654321,298.9,308.9,1453,40.8,11,0,0
84,65432147263,654321,299,309,1469,40.1,13,0,0
85,65432147264,654321,298.9,308.9,1422,47.6,15,0,0
86,78912314945,789123,299,309,1804,26.8,17,0,0
87,12345629500,123456,299,309,1436,43.9,20,0,0
88,65432147267,654321,299,309,1544,31.8,25,0,0
89,78912314948,789123,299,309,1419,45.2,27,0,0
90,78912314949,789123,298.9,308.9,1487,39.5,30,0,0
91,65432147270,654321,298.9,308.9,1753,25.8,33,0,0
92,65432147271,654321,298.9,308.9,1830,24.9,35,0,0
93,78912314952,789123,298.9,308.9,1727,27.1,37,0,0
94,65432147273,654321,299.1,309,1450,43,40,0,0
95,65432147274,654321,299,308.9,1622,31.9,42,0,0
96,78912314955,789123,299,309,1351,52.2,44,0,0
97,78912314956,789123,299,309,1575,35.3,47,0,0
98,78912314957,789123,298.9,308.9,1750,29.9,50,0,0
99,65432147278,654321,298.9,308.8,1529,32.7,53,0,0
100,65432147279,654321,298.8,308.8,1523,44.4,55,0,0
101,65432147280,654321,298.8,308.9,1852,25,57,0,0
102,65432147281,654321,298.8,308.8,1991,20.7,59,0,0
103,65432147282,654321,298.8,308.8,1555,40.6,61,0,0
104,78912314963,789123,298.8,308.8,1441,40.5,63,0,0
105,65432147284,654321,298.8,308.7,1450,43.4,66,0,0
106,65432147285,654321,298.8,308.7,1591,31.1,68,0,0
107,65432147286,654321,298.8,308.7,1445,48.5,70,0,0
108,78912314967,789123,298.8,308.8,1497,46.8,72,0,0
109,12345629522,123456,298.9,308.8,1621,32.7,75,0,0
110,65432147289,654321,298.9,308.7,1572,34.1,80,0,0
111,65432147290,654321,298.8,308.6,1872,22.5,82,0,0
112,12345629525,123456,298.7,308.6,1499,43.5,84,0,0
113,78912314972,789123,298.8,308.7,1498,39.5,89,0,0
114,78912314973,789123,298.8,308.6,1486,41.9,92,0,0
115,65432147294,654321,298.8,308.6,1680,29.4,95,0,0
116,65432147295,654321,298.8,308.6,1431,45.7,97,0,0
117,65432147296,654321,298.9,308.7,1564,34.1,99,0,0
118,65432147297,654321,298.8,308.6,1599,33,101,0,0
119,78912314978,789123,298.8,308.6,1707,28.1,103,0,0
120,65432147299,654321,298.7,308.5,1467,40.7,106,0,0
121,65432147300,654321,298.9,308.7,1433,44.7,108,0,0
122,65432147301,654321,298.9,308.7,1558,41.2,110,0,0
123,65432147302,654321,299,308.8,1310,50.7,112,0,0
124,65432147303,654321,298.9,308.7,1546,43.4,114,0,0
125,65432147304,654321,298.9,308.7,1727,29.4,116,0,0
126,65432147305,654321,298.9,308.6,1560,32.2,118,0,0
127,65432147306,654321,299,308.6,1329,60.5,120,0,0
128,65432147307,654321,298.9,308.6,1413,46.5,122,0,0
129,65432147308,654321,299,308.6,1587,38.6,124,0,0
130,65432147309,654321,298.9,308.5,1559,34.3,126,0,0
131,65432147310,654321,298.8,308.4,1473,41.1,128,0,0
132,65432147311,654321,298.8,308.4,1737,27.7,130,0,0
133,78912314992,789123,298.7,308.4,1441,43.2,132,0,0
134,78912314993,789123,298.7,308.4,1430,49.6,135,0,0
135,65432147314,654321,298.8,308.4,1369,53,138,0,0
136,78912314995,789123,298.8,308.5,1711,28.5,140,0,0
137,12345629550,123456,298.7,308.5,1420,45.7,143,0,0
138,65432147317,654321,298.7,308.6,1297,55.3,148,0,0
139,12345629552,123456,298.8,308.6,1449,49.4,150,0,0
140,65432147319,654321,298.8,308.6,1268,55.8,155,0,0
141,65432147320,654321,298.8,308.6,1511,36.1,157,0,0
142,65432147321,654321,298.7,308.5,1544,35.2,159,0,0
143,78912315002,789123,298.6,308.4,1778,28.2,161,0,0
144,12345629557,123456,298.6,308.4,1407,50.5,164,0,0
145,78912315004,789123,298.6,308.4,1391,42.4,169,0,0
146,65432147325,654321,298.5,308.4,1513,33.6,172,0,0
147,12345629560,123456,298.5,308.4,1612,36.1,174,0,0
148,65432147327,654321,298.4,308.4,1515,40.1,179,0,0
149,78912315008,789123,298.3,308.3,1379,48,181,0,0
150,65432147329,654321,298.4,308.3,1473,39.9,184,0,0
151,65432147330,654321,298.4,308.3,1422,42.7,186,0,0
152,78912315011,789123,298.4,308.2,1463,37.6,188,0,0
153,78912315012,789123,298.4,308.2,1584,41,191,0,0
154,65432147333,654321,298.4,308.2,1850,27,194,0,0
155,65432147334,654321,298.4,308.2,1528,36.2,196,0,0
156,12345629569,123456,298.4,308.2,1987,19.8,198,0,0
157,78912315016,789123,298.4,308.1,1495,46,203,0,0
158,12345629571,123456,298.4,308.2,1478,43.5,206,0,0
159,78912315018,789123,298.4,308.2,1499,40,211,0,0
160,65432147339,654321,298.4,308.2,1471,47,214,0,0
161,65432147340,654321,298.4,308.2,1282,60.7,216,1,2
162,65432147341,654321,298.3,308.1,1412,52.3,218,1,2
163,65432147342,654321,298.3,308.1,1586,35.5,0,0,0
164,78912315023,789123,298.4,308.2,1468,43.8,2,0,0
165,78912315024,789123,298.5,308.3,1440,43.6,5,0,0
166,65432147345,654321,298.5,308.4,1733,26,8,0,0
167,12345629580,123456,298.4,308.2,1612,32.6,10,0,0
168,12345629581,123456,298.4,308.3,1458,42.9,15,0,0
169,65432147348,654321,298.4,308.3,1433,62.3,20,1,1
170,65432147349,654321,298.4,308.3,1318,59.1,22,0,0
171,78912315030,789123,298.4,308.2,1610,35,24,0,0
172,65432147351,654321,298.2,308.1,1462,50.8,27,0,0
173,78912315032,789123,298.1,308,1924,20.8,29,0,0
174,78912315033,789123,298.2,308,1591,33.7,32,0,0
175,65432147354,654321,298.2,308.1,1306,58.3,35,0,0
176,65432147355,654321,298.2,308.1,1382,43.5,37,0,0
177,65432147356,654321,298.2,308.1,1618,34.7,39,0,0
178,65432147357,654321,298.2,308.2,1988,21.4,41,0,0
179,65432147358,654321,298.2,308.2,1436,50.2,43,0,0
180,65432147359,654321,298.2,308.3,1304,49.8,45,0,0
181,65432147360,654321,298.2,308.3,1475,49.9,47,0,0
182,12345629595,123456,298.2,308.3,1824,24.2,49,0,0
183,78912315042,789123,298.1,308.2,1342,48.1,54,0,0
184,65432147363,654321,298.1,308.2,1485,40.7,57,0,0
185,65432147364,654321,298.2,308.2,1667,30.6,59,0,0
186,65432147365,654321,298.2,308.2,1446,38.2,61,0,0
187,65432147366,654321,298.1,308.3,1301,56,63,0,0
188,65432147367,654321,298.2,308.4,1379,43.1,65,0,0
189,65432147368,654321,298.3,308.5,1606,33.6,67,0,0
190,78912315049,789123,298.3,308.4,1539,43.4,69,0,0
191,65432147370,654321,298.2,308.4,1477,49.9,72,0,0
192,65432147371,654321,298.2,308.4,1666,34.6,74,0,0
193,12345629606,123456,298.2,308.4,1398,51.8,76,0,0
194,12345629607,123456,298.2,308.4,1678,34.6,81,0,0
195,78912315054,789123,298.2,308.5,2678,10.7,86,1,1
196,65432147375,654321,298.3,308.5,1453,42.9,89,0,0
197,12345629610,123456,298.3,308.6,1432,49.5,91,0,0
198,78912315057,789123,298.4,308.6,1527,40.9,96,0,0
199,65432147378,654321,298.4,308.7,1588,35,99,0,0
200,65432147379,654321,298.4,308.6,1433,47.1,101,0,0
201,65432147380,654321,298.4,308.6,1609,35,103,0,0
202,65432147381,654321,298.3,308.5,1575,41.2,105,0,0
203,78912315062,789123,298.4,308.5,1636,35.7,107,0,0
204,65432147383,654321,298.4,308.5,1490,37.9,110,0,0
205,65432147384,654321,298.4,308.5,1741,32.8,112,0,0
206,78912315065,789123,298.5,308.6,1344,53,114,0,0
207,65432147386,654321,298.5,308.7,1609,35.3,117,0,0
208,78912315067,789123,298.4,308.7,1421,60.7,119,1,1
209,65432147388,654321,298.4,308.6,1591,36.7,122,0,0
210,65432147389,654321,298.4,308.6,1477,44,124,0,0
211,65432147390,654321,298.4,308.7,1523,36.1,126,0,0
212,65432147391,654321,298.5,308.7,1575,33.9,128,0,0
213,12345629626,123456,298.4,308.7,1344,52.9,130,0,0
214,65432147393,654321,298.4,308.7,1386,44.9,135,0,0
215,78912315074,789123,298.3,308.6,1589,37.1,137,0,0
216,65432147395,654321,298.3,308.6,1548,40.3,140,0,0
217,65432147396,654321,298.3,308.6,1499,38.3,142,0,0
218,65432147397,654321,298.3,308.5,1664,31.6,144,0,0
219,65432147398,654321,298.3,308.6,1447,38.1,146,0,0
220,78912315079,789123,298.3,308.5,1434,46.2,148,0,0
221,65432147400,654321,298.3,308.5,1416,52.7,151,0,0
222,12345629635,123456,298.4,308.5,1827,24.3,153,0,0
223,65432147402,654321,298.4,308.6,1304,45,158,0,0
224,65432147403,654321,298.4,308.6,1569,34.4,160,0,0
225,65432147404,654321,298.3,308.6,1584,29.3,162,0,0
226,65432147405,654321,298.3,308.5,1362,53.8,164,0,0
227,65432147406,654321,298.3,308.4,1329,49.2,166,0,0
228,65432147407,654321,298.3,308.5,1539,36.1,168,0,0
229,78912315088,789123,298.3,308.5,1629,37.1,170,0,0
230,65432147409,654321,298.3,308.5,1538,32.2,173,0,0
231,65432147410,654321,298.3,308.6,1570,34.8,175,0,0
232,65432147411,654321,298.3,308.4,1408,43.1,177,0,0
233,65432147412,654321,298.2,308.4,1424,47.6,179,0,0
234,65432147413,654321,298.2,308.4,1512,34.9,181,0,0
235,65432147414,654321,298.2,308.4,1478,42.9,183,0,0
236,78912315095,789123,298.1,308.3,1680,33.7,185,0,0
237,65432147416,654321,298.1,308.3,1495,38.7,188,0,0
238,78912315097,789123,298,308.1,1552,36.6,190,0,0
239,65432147418,654321,297.9,308.1,1393,50.3,193,0,0
240,65432147419,654321,298,308.2,1611,30.6,195,0,0
241,78912315100,789123,298,308.1,1339,51.6,197,0,0
242,65432147421,654321,298,308.1,1777,24.3,200,0,0
243,65432147422,654321,298,308.2,1348,58.8,202,1,2
244,65432147423,654321,298,308.2,1442,44.1,204,0,0
245,78912315104,789123,298,308.2,1395,49.1,206,0,0
246,78912315105,789123,297.9,308.1,1627,31.4,209,0,0
247,65432147426,654321,297.9,308.1,1585,33.5,212,0,0
248,65432147427,654321,298,308.2,1469,45.5,214,0,0
249,65432147428,654321,298,308.3,1362,56.8,216,1,2
250,65432147429,654321,298,308.3,1405,56.2,218,1,2
251,65432147430,654321,298,308.3,1662,32.7,0,0,0
252,78912315111,789123,298,308.2,1466,42.6,2,0,0
253,65432147432,654321,298,308.2,1620,35.8,5,0,0
254,65432147433,654321,298,308.2,1357,48.2,7,0,0
255,65432147434,654321,298,308.2,1514,37.9,9,0,0
256,65432147435,654321,298,308.2,1489,40.4,11,0,0
257,65432147436,654321,298.1,308.3,1331,63,13,0,0
258,65432147437,654321,298,308,1615,29.5,15,0,0
259,65432147438,654321,298.1,308.2,1482,37.9,17,0,0
260,78912315119,789123,298.1,308.2,1420,63.9,19,1,1
261,78912315120,789123,298.2,308.3,1522,49.1,22,0,0
262,65432147441,654321,298.1,308.2,1654,32.1,25,0,0
263,78912315122,789123,298.1,308.2,1736,26.8,27,0,0
264,78912315123,789123,298,308.1,1587,32.3,30,0,0
265,65432147444,654321,298.1,308.2,1390,47.5,33,0,0
266,65432147445,654321,298,308.1,1454,37.1,35,0,0
267,12345629680,123456,298,308.1,1440,43.7,37,0,0
268,65432147447,654321,297.9,308,1954,21.1,42,0,0
269,12345629682,123456,297.9,308,1800,24.8,44,0,0
270,65432147449,654321,298,308,1524,37,49,0,0
271,12345629684,123456,298,308,1520,39.6,51,0,0
272,78912315131,789123,298.1,308.1,1452,40.8,56,0,0
273,65432147452,654321,298.1,308.1,1484,40.4,59,0,0
274,65432147453,654321,298.1,308,1426,46,61,0,0
275,65432147454,654321,298.1,308,1652,28.5,63,0,0
276,65432147455,654321,298,308,1401,54.7,65,0,0
277,78912315136,789123,298,307.9,1750,26.6,67,0,0
278,12345629691,123456,298,308,1479,50.7,70,0,0
279,78912315138,789123,298,308,1620,29.4,75,0,0
280,65432147459,654321,298,308.1,1819,23.4,78,0,0
281,78912315140,789123,298.1,308.1,1456,43.7,80,0,0
282,65432147461,654321,298.1,308,1626,36.5,83,0,0
283,78912315142,789123,298.1,308.1,1390,49.8,85,0,0
284,65432147463,654321,298.2,308.2,1469,43,88,0,0
285,65432147464,654321,298.2,308.3,2051,19.2,90,0,0
286,65432147465,654321,298.2,308.3,1568,36,92,0,0
287,65432147466,654321,298.2,308.3,1589,33.2,94,0,0
288,65432147467,654321,298.2,308.3,1805,31.6,96,0,0
289,12345629702,123456,298.2,308.4,1385,42.2,98,0,0
290,65432147469,654321,298.1,308.4,1436,46.7,103,0,0
291,65432147470,654321,298.1,308.4,1438,45.6,105,0,0
292,65432147471,654321,298,308.3,1473,42.6,107,0,0
293,65432147472,654321,298.1,308.4,1335,40.2,109,0,0
294,12345629707,123456,298.1,308.5,1392,44.8,111,0,0
295,78912315154,789123,298.1,308.5,1372,51.1,116,0,0
296,78912315155,789123,298.1,308.6,1716,30.7,119,0,0
297,65432147476,654321,298,308.5,1395,46.2,122,0,0
298,65432147477,654321,298,308.5,1713,25.3,124,0,0
299,12345629712,123456,297.9,308.5,2129,18.7,126,0,0
300,78912315159,789123,297.8,308.3,1567,35.6,131,0,0
301,65432147480,654321,297.8,308.4,1622,38.3,134,0,0
302,65432147481,654321,297.7,308.4,1740,27.1,136,0,0
303,12345629716,123456,297.8,308.4,1512,35.1,138,0,0
304,78912315163,789123,297.8,308.4,1479,43.5,143,0,0
305,65432147484,654321,297.8,308.4,1737,27.5,146,0,0
306,65432147485,654321,297.8,308.4,2129,19.2,148,0,0
307,65432147486,654321,297.8,308.4,1374,47.1,150,0,0
308,78912315167,789123,297.8,308.4,1579,36.6,152,0,0
309,65432147488,654321,297.9,308.5,1305,47.2,155,0,0
310,78912315169,789123,297.9,308.5,1449,40.8,157,0,0
311,12345629724,123456,298,308.6,1526,41.8,160,0,0
312,78912315171,789123,298,308.6,1453,44.1,165,0,0
313,65432147492,654321,297.9,308.6,1468,36,168,0,0
314,65432147493,654321,298,308.6,1313,50.8,170,0,0
315,78912315174,789123,297.9,308.5,1300,53,172,0,0
316,65432147495,654321,297.9,308.4,1646,40.6,175,0,0
317,65432147496,654321,297.8,308.4,1714,33.2,177,0,0
318,65432147497,654321,297.8,308.4,1685,28.4,179,0,0
319,65432147498,654321,297.8,308.4,1512,39.9,181,0,0
320,65432147499,654321,297.8,308.4,1612,32.1,183,0,0
321,12345629734,123456,297.8,308.4,1550,38.2,185,0,0
322,65432147501,654321,297.8,308.4,1518,32.5,190,0,0
323,65432147502,654321,297.8,308.5,1448,40,192,0,0
324,65432147503,654321,297.8,308.5,1561,46.3,194,0,0
325,78912315184,789123,297.8,308.5,1488,41.9,196,0,0
326,65432147505,654321,297.8,308.5,1699,27.8,199,0,0
327,65432147506,654321,297.7,308.5,1501,41.4,201,0,0
328,65432147507,654321,297.7,308.5,1373,56.7,203,1,2
329,12345629742,123456,297.6,308.4,1703,31.4,205,0,0
330,12345629743,123456,297.7,308.5,1720,29.9,210,0,0
331,78912315190,789123,297.6,308.4,1398,41.9,215,0,0
332,78912315191,789123,297.6,308.4,1391,51.9,218,0,0
333,78912315192,789123,297.6,308.3,1538,40.2,0,0,0
334,65432147513,654321,297.5,308.2,1647,31.3,3,0,0
335,78912315194,789123,297.5,308.1,1469,44.8,5,0,0
336,65432147515,654321,297.4,308.1,1749,25.9,8,0,0
337,78912315196,789123,297.6,308.2,1995,20.5,10,0,0
338,65432147517,654321,297.6,308.3,1742,27.7,13,0,0
339,65432147518,654321,297.5,308.2,1563,38.2,15,0,0
340,78912315199,789123,297.5,308.2,1713,32.2,17,0,0
341,65432147520,654321,297.4,308.1,1474,39.4,20,0,0
342,78912315201,789123,297.4,308.2,1530,32.6,22,0,0
343,65432147522,654321,297.4,308.2,1471,46.5,25,0,0
344,65432147523,654321,297.5,308.3,1388,48.6,27,0,0
345,78912315204,789123,297.5,308.2,2448,13.8,29,0,0
346,65432147525,654321,297.5,308.3,1585,32.9,32,0,0
347,78912315206,789123,297.5,308.3,1459,45.2,34,0,0
348,65432147527,654321,297.5,308.3,1544,40.8,37,0,0
349,65432147528,654321,297.6,308.3,1617,31.7,39,0,0
350,65432147529,654321,297.6,308.3,1595,34.3,41,0,0
351,12345629764,123456,297.6,308.3,1400,44.3,43,0,0
352,78912315211,789123,297.6,308.4,1611,31,48,0,0
353,78912315212,789123,297.6,308.4,1507,46,51,0,0
354,12345629767,123456,297.5,308.3,1674,30,54,0,0
355,65432147534,654321,297.6,308.3,1658,34.3,59,0,0
356,65432147535,654321,297.6,308.3,1623,36.9,61,0,0
357,78912315216,789123,297.6,308.4,1398,48.9,63,0,0
358,65432147537,654321,297.6,308.4,1517,34.2,66,0,0
359,78912315218,789123,297.6,308.3,1467,36.7,68,0,0
360,78912315219,789123,297.6,308.3,1567,34.6,71,0,0
361,78912315220,789123,297.5,308.3,1521,38.2,74,0,0
362,65432147541,654321,297.5,308.3,1596,36.8,77,0,0
363,12345629776,123456,297.6,308.3,1640,30.9,79,0,0
364,65432147543,654321,297.6,308.3,1438,47.8,84,0,0
365,65432147544,654321,297.6,308.4,1407,55.2,86,0,0
366,65432147545,654321,297.6,308.4,1353,57.5,88,0,0
367,78912315226,789123,297.6,308.5,1552,40.9,90,0,0
368,78912315227,789123,297.6,308.4,1569,38.3,93,0,0
369,65432147548,654321,297.5,308.4,1489,39.5,96,0,0
370,12345629783,123456,297.5,308.4,1587,36.1,98,0,0
371,78912315230,789123,297.5,308.3,1622,37.2,103,0,0
372,65432147551,654321,297.5,308.4,1604,38.1,106,0,0
373,78912315232,789123,297.4,308.3,1405,51.7,108,0,0
374,65432147553,654321,297.4,308.3,1412,42,111,0,0
375,65432147554,654321,297.4,308.3,1431,43,113,0,0
376,65432147555,654321,297.4,308.2,1533,37.4,115,0,0
377,78912315236,789123,297.4,308.2,1401,51.9,117,0,0
378,78912315237,789123,297.4,308.2,1424,53.9,120,0,0
379,65432147558,654321,297.3,308.2,1754,29.4,123,0,0
380,65432147559,654321,297.3,308.2,1754,26.8,125,0,0
381,65432147560,654321,297.5,308.3,2564,12.8,127,1,1
382,65432147561,654321,297.5,308.5,1546,40.4,129,0,0
383,65432147562,654321,297.5,308.5,1335,48,131,0,0
384,78912315243,789123,297.5,308.6,1842,27,133,0,0
385,65432147564,654321,297.5,308.5,1712,26.8,136,0,0
386,78912315245,789123,297.6,308.6,1414,45.4,138,0,0
387,65432147566,654321,297.6,308.7,1319,50.9,141,0,0
388,65432147567,654321,297.7,308.7,1249,60.4,143,0,0
389,65432147568,654321,297.6,308.7,1455,48.2,145,0,0
390,78912315249,789123,297.6,308.7,1408,54.8,147,0,0
391,65432147570,654321,297.6,308.7,1460,46.7,150,0,0
392,65432147571,654321,297.6,308.6,1491,38.1,152,0,0
393,78912315252,789123,297.6,308.5,1490,43.4,154,0,0
394,78912315253,789123,297.5,308.4,1350,52.2,157,0,0
395,65432147574,654321,297.5,308.4,1528,39.9,160,0,0
396,65432147575,654321,297.4,308.3,1571,37.7,162,0,0
397,65432147576,654321,297.4,308.3,1490,42.6,164,0,0
398,78912315257,789123,297.4,308.3,1774,28.9,166,0,0
399,12345629812,123456,297.4,308.3,1502,43.6,169,0,0
400,65432147579,654321,297.4,308.4,1392,49.7,174,0,0
401,65432147580,654321,297.4,308.5,2100,16.9,176,0,0
402,65432147581,654321,297.5,308.5,1722,30.4,178,0,0
403,65432147582,654321,297.4,308.6,1678,32.3,180,0,0
404,65432147583,654321,297.3,308.6,1273,59.8,182,0,0
405,65432147584,654321,297.3,308.6,1297,45.9,184,0,0
406,65432147585,654321,297.3,308.5,1350,57.6,186,0,0
407,65432147586,654321,297.4,308.6,1439,51.9,188,0,0
408,78912315267,789123,297.4,308.5,1600,42.1,190,0,0
409,78912315268,789123,297.4,308.6,1434,44.4,193,0,0
410,65432147589,654321,297.4,308.6,1459,41.3,196,0,0
411,78912315270,789123,297.5,308.6,1472,44.9,198,0,0
412,65432147591,654321,297.5,308.7,1429,44.3,201,0,0
413,65432147592,654321,297.5,308.6,1388,48.2,203,0,0
414,65432147593,654321,297.4,308.4,1573,34.5,205,0,0
415,65432147594,654321,297.4,308.4,1588,32.5,207,0,0
416,65432147595,654321,297.5,308.4,1511,42.8,209,0,0
417,65432147596,654321,297.4,308.5,1495,37.8,211,0,0
418,65432147597,654321,297.4,308.4,1394,50.1,213,0,0
419,65432147598,654321,297.4,308.4,2151,17.7,0,0,0
420,78912315279,789123,297.3,308.3,1501,38.2,2,0,0
421,78912315280,789123,297.3,308.3,1301,39.6,5,0,0
422,78912315281,789123,297.3,308.3,1657,31.1,8,0,0
423,65432147602,654321,297.3,308.3,1333,55.2,11,0,0
424,65432147603,654321,297.3,308.3,1484,43.9,13,0,0
425,65432147604,654321,297.3,308.4,1430,45.7,15,0,0
426,78912315285,789123,297.3,308.4,1665,28.9,17,0,0
427,65432147606,654321,297.4,308.5,1501,44.9,20,0,0
428,78912315287,789123,297.5,308.5,1496,42.2,22,0,0
429,78912315288,789123,297.6,308.6,1595,36.9,25,0,0
430,65432147609,654321,297.5,308.6,1208,62.3,28,0,0
431,65432147610,654321,297.5,308.6,1596,37.1,30,0,0
432,65432147611,654321,297.5,308.5,1446,41.9,32,0,0
433,78912315292,789123,297.6,308.5,1466,39.7,34,0,0
434,78912315293,789123,297.6,308.5,1848,23.7,37,0,0
435,78912315294,789123,297.5,308.5,1484,44.7,40,0,0
436,65432147615,654321,297.4,308.3,1493,41.2,43,0,0
437,65432147616,654321,297.3,308.3,1504,36.3,45,0,0
438,65432147617,654321,297.3,308.3,1538,38.5,47,0,0
439,65432147618,654321,297.4,308.4,1341,52.2,49,0,0
440,78912315299,789123,297.4,308.3,1535,34.6,51,0,0
441,65432147620,654321,297.4,308.5,1389,39.2,54,0,0
442,12345629855,123456,297.5,308.5,1393,46.6,56,0,0
443,65432147622,654321,297.4,308.5,1399,61.5,61,1,1
444,12345629857,123456,297.4,308.5,1469,45.1,63,0,0
445,65432147624,654321,297.4,308.4,1582,37.2,68,0,0
446,65432147625,654321,297.5,308.6,1793,26.7,70,0,0
447,65432147626,654321,297.5,308.6,1452,39,72,0,0
448,78912315307,789123,297.6,308.7,1376,59.9,74,0,0
449,65432147628,654321,297.5,308.6,1552,44.9,77,0,0
450,65432147629,654321,297.6,308.7,1622,37.9,79,0,0
451,78912315310,789123,297.6,308.7,1419,41.7,81,0,0
452,12345629865,123456,297.5,308.6,1440,46.1,84,0,0
453,78912315312,789123,297.4,308.6,1643,31,89,0,0
454,65432147633,654321,297.4,308.7,1510,36.2,92,0,0
455,65432147634,654321,297.4,308.7,1468,46.6,94,0,0
